line,label
" `` He may lose all popular support ,  but someone has to kill him to defeat him and that 's  HARD  to do. '' ",HARD1
Clever White House `` spin doctors '' are having a  HARD  time helping President Bush explain away the economic bashing that low-and middle-income workers are taking these days .,HARD1
" I find it  HARD  to believe that the Sacramento River will ever be quite the same ,  although I certainly wish that I'm wrong . ",HARD1
" Now when you get bad credit data or are confused with another person ,  the  HARD  part in correcting the mistake is not even knowing where it is recorded ,  let alone having access . ",HARD1
" 'A great share of responsibility for this national tragedy unquestionably lies with the president of the country. '-- Eduard Shevardnadze ,  former foreign minister ;  'We are so deep in this crisis that all this business about leaving the party ,  not leaving the party -- that will never get us out. '-- Natasha ,  a Moscow bookkeeper ;  'Our life is  HARD  now ,  yes ,  but it is better to be hungry and free. '-- Lena Sedykh ,  a Moscow street sweeper ;  'If you judge by astrology ,  Gorbachev is Cancer ,  and Yeltsin and Russia are Aquarius . ",HARD1
" Producers of action shows ,  like Cannell ,  are willing to make them at a bargain price to help CBS open up a new market for one-hour action shows ,  which have become  HARD  to sell in the rerun market . ",HARD1
" Voting against seeking additional sources of funds was Supervisor Ray Belgard ,  who told his colleagues ,  `` We have to face the  HARD  facts of life . ",HARD1
" It 's  HARD  to make the columns even ,  to neatly space the text inside the cells of the table ,  to adjust the table when information needs to be added ,  to make exceptions to stretch entries across several cells ,  to add periodic colors or shades to cells ,  and so on . ",HARD1
`` It may be  HARD  just to finish these remarks. '',HARD1
" Now that Amanda Blake has died ,  is it  HARD  portraying Matt Dillon without Miss Kitty ? ",HARD1
" Even though many of the university 's 30 , 638 students are more conservative and career-oriented than their '60s and '70s predecessors ,  and it 's  HARD  to drum up big crowds for a protest than it used to be ,  Telegraph retains a mystical -- if mangy -- aura . ",HARD1
" It 's  HARD  to put into words ,  but since that day I 've felt much more confident . ",HARD1
" It 's  HARD  to believe I'm seeing it start to rise out of the ground , "" Sheriff Harvey Nyland said after a groundbreaking ceremony . ",HARD1
" `` And we are pleased to announce that already Coke ,  Pepsi and others have expressed enthusiasm and interest in participating in this expanded MTV service ,  further supporting their already established use of MTV as a vehicle to attract the  HARD  <compound>to-reach</compound>  12-34-year-old demographic. '' ",HARD1
" `` Change was not  HARD  for him , "" said his daughter ,  Diane Nelson of Santa Maria . ",HARD1
" I try to have fun with everything I do ,  but the  HARD  part is I 'll make a good pitch and I 'll try to make it better the next time out , "" he said . ",HARD1
" He 's the first to say that wife Lisa is going through the  HARD  part ,  but it was n't bad for a 25-year-old guy who 's expecting to become a first-time pop any day now . ",HARD1
It 's  HARD  to ignore a voodoo-like bent in her 28-inch Iraqi dictator dolls .,HARD1
It also makes the job  HARD  .,HARD1
<s snum=29>``I find it  HARD  to understand how anyone seeking a position in public life could demonstrate such poor judgment and bad taste.,HARD1
" The slump in business activity and the accompanying `` credit crunch '' have been especially  HARD  on owners of these high-yielding ,  high-risk securities ,  whether they owned them directly or through mutual funds . ",HARD1
There 's so much to do near Phoenix Stadium that it 's  HARD  to decide where to fit in a spring training baseball game .,HARD1
" But if there are enough guys and they all have big sticks or something ,  it becomes  HARD  for any dog. '' ",HARD1
old ladies are crotchety and  HARD  to please .,HARD1
" `` It 's ( becoming )   HARD  to steal a car , "" said Lt. Jeanne Miller of the Detroit Police Department 's Major Crimes division . ",HARD1
" `` When you run by yourself ,  it 's  HARD  to get motivated. '' ",HARD1
( check )  It 's often  HARD  to tell if a can is aluminum or steel .,HARD1
" Despite all the rhetoric ,  it is truly  HARD  to make a case that big business is overtaxed in California . ",HARD1
That is  HARD  to bear. '',HARD1
" As you walk through this verdant landscape ,  it is n't  HARD  to get a sense of the area 's history . ",HARD1
`` I have a  HARD  time with the use of the word. '',HARD1
" `` When you have a disaster like the Oakland hills fire ,  it 's  HARD  to remember everything . ",HARD1
" `` It was a unique project ,  a high-risk project ,  and it was put in such an unfortunate time slot ( opposite '48 Hours ' and 'Quantum Leap ' )  that it would be  HARD  to get anyone interested in it . ",HARD1
" `` Four generations of our family have come here ,  and every year ,  it gets  HARD  to get in. '' ",HARD1
All the easy cuts and a bunch of the  HARD  ones were made in bridging the $14 billion gap in June .,HARD1
Earlier studies suggested up-and-down dieting makes it  HARD  to lose weight and may have unhealthy consequences .,HARD1
" It 's  HARD  to control teen-agers ' behavior ,  but not impossible . ",HARD1
It 's  HARD  to define whether Stewart means he wo n't talk at all or whether he just wo n't tell the truth as he sees it .,HARD1
" The slumped economy unquestionably has been  HARD  on America 's cities ,  counties and school districts . ",HARD1
" After the fire ,  Baldwin said ,  it has been  HARD  for him to look at the sprawling brick plant ,  which he can see every time he steps out the front door of his apartment . ",HARD1
The Empire State Building is a high-profile symbol that might be  HARD  to resist .,HARD1
" He said it was  HARD  for him to get up each morning and pick up his crutches ,  which he calls `` my other set of legs. '' ",HARD1
" And should FSU be undefeated after playing the Cougars ,  Michigan ,  LSU ,  Louisville ,  South Carolina ,  Miami and Florida ,  it 'll be  HARD  not to give them the title . ",HARD1
" Despite lower home prices and higher apartment-vacancy rates ,  the nation 's poor are finding it  HARD  than ever to find decent ,  affordable housing ,  a study said this week . ",HARD1
diamonds are  HARD  to get .,HARD1
" There have been so many revelations against Bettelheim recently that it is  HARD  to know what to make of them all ,  said Dr. Louis Jolyon West ,  a professor of psychiatry at UCLA . ",HARD1
The crew members wait with the pothole because if they left -- and you may find this  HARD  to believe -- impatient drivers would simply mow down the laughing cones and plow right over the crew 's handiwork .,HARD1
It 's  HARD  enough having one successful mystery character -- how does Smith manage two ?,HARD1
" It 's awfully  HARD  to achieve a balance ,  but parents need to apply common sense and listen to their gut reactions. '' ",HARD1
The Miami Dolphins found out the  HARD  way Sunday :  The Silverdome is no place to come for a party .,HARD1
<s snum=13>Only this time around the conditions are different and the choice is far  HARD .,HARD1
" Pat Hurst ,  who made the jump from amateur to professional golf six weeks ago ,  is learning the  HARD  way that mistakes can be costly . . . in the pocketbook . ",HARD1
" `` The field is  HARD  out there ,  so I'm not concerned , "" said Manager Cito Gaston ,  who believes defense cost the Blue Jays the East in 1990 . ",HARD1
But even fellow Israeli Cabinet members find it  HARD  to stop the hawkish housing minister who savors sprinkling the occupied lands with new Jewish settlements .,HARD1
" The world of computing is so huge that it 's  HARD  to pick one program ,  peripheral or processor ,  that shows where the personal computer is after 10 years . ",HARD1
But at least one firm familiar with the new law says a scarce supply of computer professionals may make it  HARD  to reduce overtime benefits .,HARD1
It 's  HARD  to tell with bankside vegetation .,HARD1
" `` When it drags out two or three years ,  it 's  HARD  for a union to sustain momentum , "" Anderson said . ",HARD1
Current service consists of unlimited curbside pickup in the city 's flatland areas at $16.73 per month and a variable rate in the  HARD  <compound>to-serve</compound>  hillside areas ranging from $11.97 for one can to $20.30 for five cans .,HARD1
" The first issue included a news story on a major sale of vintage jerseys ,  a background piece on the unique style of  HARD  <compound>to-find</compound>  1970 Cleveland Indians shirts and a short list of 1991 uniform changes . ",HARD1
" `` If you try to pick out the separate voices in the chorus of why Dennis Eckart is leaving ,  it is going to be  HARD  , "" Eckart added . ",HARD1
" `` This , "" said Young ,  `` was a  HARD  one . ",HARD1
" To defend yourself :  It 's  HARD  not to be influenced ,  so `` just say no '' to slur campaigns . ",HARD1
It 's very  HARD  to pick it apart into percentages .,HARD1
`` He has a  HARD  time completing a thought .,HARD1
( box ) Mixed-signal chips are  HARD  to make right the first time .,HARD1
" And it is  HARD  enough refusing a bonbon nowadays ,  without considering how one might politely refuse to be served a member of the household . ",HARD1
" Instead ,  opponents like House Speaker Thomas Foley ,  D-Spokane ,  stood the argument on its ear ,  imploring his home state 's voters not to throw away their  HARD  <compound>won</compound>  political power in a fit of pique over unpaid restaurant tabs and bounced checks . ",HARD1
" Beverly Hayon ,  spokeswoman for Kaiser Permanente Medical Care Program ,  said `` It 's  HARD  to see how ( this )  is going to stop the AIDS epidemic . ",HARD1
" If allied figures are anywhere near correct -- it is  HARD  to know ,  since a British report that 300 Iraqis were killed at Khafji shrank to 30 by the time the Saudis briefed a couple of hours later -- the Iraqi leader was given a bloody nose . ",HARD1
" `` It 's  HARD  for us girls ! "" she says and laughs . ",HARD1
It 's  HARD  to care .,HARD1
`` They don't have to make it  HARD  than it already is. '',HARD1
" Nonetheless ,  as House Resolution 1 is fast-tracked through the House ,  the complexities of legal language defining what is or is n't a legitimate business necessity in hiring and promoting workers make it very  HARD  for the bill 's sponsors to prove that it will not lead to quotas in employment ,  as the administration charges . ",HARD1
" Originally ,  it attached recycled engines to bicycles ,  a popular mode of transportation in the  HARD  years that followed World War II . ",HARD1
" `` It 's  HARD  to rest him ,  but when you 've got a guy like Willie ( Wilson )  in his place ,  it 's not so HARD. '' ",HARD1
" Devine ,  however ,  notes that First Nationwide must ultimately achieve its goal of providing Ford an average annual return of 15 percent on its investment ,  something that is increasingly  HARD  to do in the troubled savings and loan business . ",HARD1
" `` When I go home ,  it 's  HARD  to even walk outside ,  because I see the suffering of people ,  and it hurts me . ",HARD1
" `` If a young boy who had a very  HARD  life becomes a dope addict and then suddenly turns it all around . . . is he less of a role model because he did n't go through the regular scenario of college ,  a B.A. and an M.A. and doing something in the community ? ",HARD1
" He found it  HARD  to be going the opposite direction of his teammates ,  who are a surprising 24-19 . ",HARD1
" Trouble is ,  when you 're marketing a museum internationally ,  it 's  HARD  to explain that a Garage is a high-tech attraction . ",HARD1
The lawsuit cited cases where different consumers ' reports were mixed together and said such inaccuracies are  HARD  to correct .,HARD1
It was coming up on an hour since the final buzzer sounded and still Jordan looked as if he 'd just heard the best or worst news of his life    it was  HARD  to tell .,HARD1
" Until I hear the doctor say he 's OK ,  it 's going to be  HARD  to concentrate . ",HARD1
That 's sometimes  HARD  for us to keep in mind. '',HARD1
" `` They are  HARD  to get to ,  and there are no roads for the rescue equipment to travel on. '' ",HARD1
" `` It 's a little  HARD  ,  a lot faster and a lot quicker than the racing I saw on TV , "" Basaca said . ",HARD1
It 's  HARD  to imagine that any American who has such priorities would fess up about them to a pollster .,HARD1
" For the time being ,  consumers can expect to have a  HARD  time getting loans and to pay more for them . ",HARD1
" `` It 's not  HARD  watching a team warm up to see how much athletic ability it has , "" Shaw said . ",HARD1
" However ,  I found WindowBase much  HARD  to get close to than AceFile . ",HARD1
" Nine years and two kids later ,  absolute quiet is  HARD  to come by in our lives . ",HARD1
It 's a little  HARD  to say because I have n't seen this cartoon and I did see `` Little Mermaid. '',HARD1
" `` It 's  HARD  for me not to cry right now , "" he said . ",HARD1
Hilton also wrote that the fire has been `` an extremely  HARD  thing to deal with '' and that living with its memory `` for the rest of my life is a terrible burden. '',HARD1
" Tough reforms planned ;  Last week ,  Russian President Boris Yeltsin said he was about to begin a series of tough economic reforms that at first would make life even  HARD  for the average person . ",HARD1
" Now ,  Lamott says ,  Canin 's gone through a couple of  HARD  ,  tense years writing `` Blue River. '' ",HARD1
" `` Let 's face it ,  men in boats have given the whale a  HARD  time , "" said Holly Jaffe ,  a Capistrano Beach office manager making her second trip with Cole . ",HARD1
That should make it even  HARD  for the Giants to swallow .,HARD1
Keep this one in your drawer for the next time the boss gives you a  HARD  time .,HARD2
" She recommends continuing education courses ,  developing effective people skills and  HARD  work . ",HARD2
<s snum=28>The phrase ``consent of the governed'' needs a  HARD  look.,HARD2
" He 's a good friend ,  and hopefully the  HARD  work he has done on his swing is going to pay dividends for him . ",HARD2
" `` What we do is really show the slapstick side that still works with the interpretation ( of the play )  ,  so kids see how much fun Shakespeare is -- because he 's ( often )  associated with  HARD  academic disciplines , "" Orlando said . ",HARD2
" As an antidote to the dependency of this identity he routinely advocates the classic values of  HARD  work ,  individual initiative and self-reliance -- even as bigotry is continually resisted . ",HARD2
" ( box )  COMMENT :  `` ( The game-winning single )  is a compliment to all the  HARD  work , "" Moreau Coach Mike Bungarz said . ",HARD2
" it is therefore on real  HARD  cash that he bases his argument that if Manchester is ready to pay the top price of , say , 25 s a seat , and fill the theatre , Manchester can expect more of the world-famous ones - always provided that her claims do not unhappily conflict with those of La Scala , New York's metropolitan opera , Vienna , Venice , Paris , San Francisco , and the rest of the world's leading opera houses . ",HARD2
But  HARD  lines are n't Hook 's style .,HARD2
It took Hoffmann and another teacher a year to persuade him to take  HARD  classes .,HARD2
" I have taken a long ,   HARD  look . ",HARD2
" A minority of dissenters says that while wild habitats indeed are disappearing -- and species with them -- because of human expansion ,  the supposed magnitude and rate of the extinctions are unsubstantiated by  HARD  evidence and probably have been exaggerated . ",HARD2
" <s snum=67>``That's a lot of  HARD  <compound>earned</compound>  money to lose'', he says today. ",HARD2
" <s snum=2>And like this English master, Mason realizes his subjects in large, simplified masses which, though they seem effortless, are in reality the result of skilled design born of  HARD  work and a thorough distillation of the natural form that inspired them. ",HARD2
That has left their faces as  HARD  as the lives they come from and their passions as heated as the desert air .,HARD2
We move toward the next century more confident than ever that we have the will at home and abroad to do what must be done -- the  HARD  work of freedom .,HARD2
" There is no question he came up the  HARD  way ,  but there has been some question about the accuracy of his version . ",HARD2
" You have probably noticed that virtually all cities ,  including some real armpits ,  like to boast that they have museums and symphonies ,  which are of course the last things that you really want at the end of a  HARD  day of traveling . ",HARD2
" no one could have been more courageous , more  HARD  <compound>working</compound>  , more fair-minded , more amiable . ",HARD2
" A clearer ,   HARD  ,  tougher national self-assessment . ",HARD2
Davies said authorities here had long suspected Sjonborg in Wilde 's slaying but lacked  HARD  evidence until his estranged wife came forward Sept. 6 and recanted an earlier alibi she had given Sjonborg for the day of Wilde 's death .,HARD2
" Your self-discipline ,  diligence and  HARD  work are exemplary . ",HARD2
" They look old and dumpy ,  with stolid ,   HARD  faces . ",HARD2
" I don't know if you would call it luck ,  or just plain  HARD  work -- it was probably a combination of both -- but your mother and I put in a lot of hours and ended up with a very successful business . ",HARD2
" It was  HARD  work ,  recalls John A. Breeding ,  a year younger than Lester and now a resident of Live Oak . ",HARD2
" The hearings forced Tim Stead ,  37 ,  a supervisor at a San Jose manufacturing plant ,  to take a  HARD  look at his past treatment of women . ",HARD2
She said Mr. Daly was `` a  HARD  news man '' who had become dismayed by recent trends in journalism .,HARD2
" If others in Silicon Valley are encouraged and richly rewarded for  HARD  work and perseverance ,  why should teachers be singled out and condemned ? ",HARD2
" Even with its joyous moments ,  songs such as `` Something to Talk About , "" `` Good Man ,  Good Woman '' and the sultry `` Slow Ride , "" `` Luck of the Draw '' asks tough questions and takes a  HARD  look at the never-ending balance between ideals and realities . ",HARD2
" But the administration wants  HARD  evidence the Soviets are moving to a free market economy ,  before more massive aid is considered . ",HARD2
" proposing the toast of the guests , Mr Thomas Lonsdale , said the catering industry today required brains , but pointed out that the capacity to absorb technical knowledge differed from the  HARD  realism of routine catering , which demanded not only brains and skill , but common sense and understanding of human nature as well as the highest possible degree of courtesy . ",HARD2
" TO THE mix of  HARD  facts ,  horoscopes and advice offered at the end of 900 lines ,  a group of mainline Christians is adding another choice :  comfort and inspiration . ",HARD2
" Wilson needs to take a  HARD  look at just how the state is spending its resources when it comes to the poor ,  elderly and disabled . ",HARD2
" Our grandmothers might have described her as a  HARD  woman ,  but today she was trying desperately to recapture yesterday 's ingenue . ",HARD2
<s snum=150>The clouds parted and  HARD  gashes of sunlight swooped down to stain the earth with streaks of white and gold light so that the shadows of the running horses flowed like dark streams over the dazzling snow.,HARD2
Her friend commiserates :  `` No way to avoid  HARD  work. '',HARD2
Fellow council members praised Rogers for  HARD  work and dedication .,HARD2
" Professors in  HARD  <compound>science</compound>  disciplines ,  such as engineering ,  were found to be more satisfied with their jobs than their colleagues . ",HARD2
" <s snum=38>Some of the lime that is always on hand in the Capitol basement for plaster repairs was slaked several months for us; but to make it stiffer, of a really putty-like consistency to avoid cracking, we added a little hydrated lime-  HARD  on the hands, but we could see no other disadvantage. ",HARD2
I invite anyone with  HARD  information from Kuwait that contradicts our preliminary findings to get it to us as quickly as possible .,HARD2
" Evidently ,  when you came up with the solution of owning your own home ,  you forgot to add patience to  HARD  work . ",HARD2
" and so you did of me , Jane thought , with a sudden , uncharacteristically  HARD  perception . ",HARD2
" The Chevy engined stalled ,  Mears said ,  because it failed to pick up fuel after Mears took it down the hill and made the  HARD  left turn toward the checkered flag . ",HARD2
`` It 's a force that 's designed to take a  HARD  look at the capabilities of potential opponents around the world. '',HARD2
`` All that  HARD  work I did in spring training paid off . . . '',HARD2
He said Tuesday there are no  HARD  feelings .,HARD2
" While not denying his obvious sex appeal ,  Bolton has clearly earned his position of prominence ,  artistically and commercially ,  in the music industry through his tremendous talents as a singer and songwriter and many years of  HARD  work and dedication . ",HARD2
" Yet ,  with  HARD  work and the ability to live within their means ,  they have produced what is seen now . ",HARD2
but when she finished his eyes were  HARD  .,HARD2
" Corporate information systems managers need to take a good ,   HARD  look at what people need and then develop simple ,  useful applications that deliver up-to-date information into knowledge workers ' hands . ",HARD2
" However ,  a  HARD  look at the current career path system shows that it does not work . ",HARD2
" `` So ,  for the time being ,  adios ,  no  HARD  feelings. '' ",HARD2
" All Californians need to take a long ,   HARD  look into themselves and stop hiding behind fuzzy ,  `` liberated '' notions of freedom . ",HARD2
" Home :  A `` rustic '' older home on four acres in Woodside that gets a lot of ``  HARD  '' use ,  he says . ",HARD2
" These people and their backers played no part in the  HARD  work of collecting 19 , 000 signatures for recall . ",HARD2
" <s snum=113>The brother and sister seemed to be a sort of mutual-aid society, a little fortress of kindness for each other in a  HARD  world. ",HARD2
" Disagreement over other matters has kept  HARD  feelings from dying ,  she said . ",HARD2
" In its cover piece ,  the current People magazine takes a  HARD  look at the pair ,  who don't see each other very often anymore -- at one point royal watchers figured they had n't been together for 39 days . ",HARD2
`` Pro athletes never know how good they have it until they have to face some kind of  HARD  reality .,HARD2
" Yuh 25 ,  unaccustomed to the  HARD  edge of New York humor ,  found Breslin 's remarks sexist . ",HARD2
" School discipline ,   HARD  work and right-from-wrong were of the highest priority . ",HARD2
